,testo_CO2,testo_CO2i
2015-04-12 14:33:27,0.0,0.66
2015-04-12 14:33:28,0.0,0.365
2015-04-12 14:33:29,0.0,0.07
2015-04-12 14:33:30,0.0,0.07
2015-04-12 14:33:31,0.0,0.07
2015-04-12 14:33:32,0.0,0.07
2015-04-12 14:33:33,0.0,0.08
2015-04-12 14:33:34,0.0,0.08
2015-04-12 14:33:35,0.0,0.08
2015-04-12 14:33:36,0.0,0.07
2015-04-12 14:33:37,0.0,0.06
2015-04-12 14:33:38,0.0,0.06
2015-04-12 14:33:39,0.0,0.06
2015-04-12 14:33:40,0.0,0.06
2015-04-12 14:33:41,0.0,0.06
2015-04-12 14:33:42,0.0,0.06
2015-04-12 14:33:43,0.0,0.06
2015-04-12 14:33:44,0.0,0.06
2015-04-12 14:33:45,0.0,0.06
2015-04-12 14:33:46,0.0,0.07
2015-04-12 14:33:47,0.0,0.08
2015-04-12 14:33:48,0.0,0.08
2015-04-12 14:33:49,0.0,0.08
2015-04-12 14:33:50,0.0,0.08
2015-04-12 14:33:51,0.0,0.08
2015-04-12 14:33:52,0.0,0.08
2015-04-12 14:33:53,0.0,0.08
2015-04-12 14:33:54,0.0,0.08
2015-04-12 14:33:55,0.0,0.1
2015-04-12 14:33:56,0.0,0.1
2015-04-12 14:33:57,0.0,0.1
2015-04-12 14:33:58,0.0,0.1
2015-04-12 14:33:59,0.0,0.1
2015-04-12 14:34:00,0.0,0.1
2015-04-12 14:34:01,0.0,0.1
2015-04-12 14:34:02,0.0,0.1
2015-04-12 14:34:03,0.0,0.1
2015-04-12 14:34:04,0.0,0.1
2015-04-12 14:34:05,0.0,0.1
2015-04-12 14:34:06,0.0,0.1
2015-04-12 14:34:07,0.0,0.1
2015-04-12 14:34:08,0.0,0.1
2015-04-12 14:34:09,0.0,0.1
2015-04-12 14:34:10,0.0,0.1
2015-04-12 14:34:11,0.0,0.1
2015-04-12 14:34:12,0.0,0.1
2015-04-12 14:34:13,0.0,0.11
2015-04-12 14:34:14,0.0,0.11
2015-04-12 14:34:15,0.0,0.11
2015-04-12 14:34:16,0.0,0.11
2015-04-12 14:34:17,0.0,0.11
2015-04-12 14:34:18,0.0,0.13
2015-04-12 14:34:19,0.0,0.13
2015-04-12 14:34:20,0.0,0.13
2015-04-12 14:34:21,0.0,0.13
2015-04-12 14:34:22,0.0,0.13
2015-04-12 14:34:23,0.0,0.13
2015-04-12 14:34:24,0.0,0.13
2015-04-12 14:34:25,0.0,0.13
2015-04-12 14:34:26,0.0,0.17
2015-04-12 14:34:27,0.0,0.17
2015-04-12 14:34:28,0.0,0.17
2015-04-12 14:34:29,0.0,0.17
2015-04-12 14:34:30,0.0,0.17
2015-04-12 14:34:31,0.0,0.16
2015-04-12 14:34:32,0.0,0.16
2015-04-12 14:34:33,0.0,0.16
2015-04-12 14:34:34,0.0,0.16
2015-04-12 14:34:35,0.0,0.16
2015-04-12 14:34:36,0.0,0.16
2015-04-12 14:34:37,0.0,0.16
2015-04-12 14:34:38,0.0,0.16
2015-04-12 14:34:39,0.0,0.14
2015-04-12 14:34:40,0.0,0.14
2015-04-12 14:34:41,0.0,0.14
2015-04-12 14:34:42,0.0,0.11
2015-04-12 14:34:43,0.0,0.11
2015-04-12 14:34:44,0.0,0.11
2015-04-12 14:34:45,0.0,0.11
2015-04-12 14:34:46,0.0,0.11
2015-04-12 14:34:47,0.0,0.11
2015-04-12 14:34:48,0.0,0.11
2015-04-12 14:34:49,0.0,0.11
2015-04-12 14:34:50,0.0,0.1
2015-04-12 14:34:51,0.0,0.1
2015-04-12 14:34:52,0.0,0.1
2015-04-12 14:34:53,0.0,0.1
2015-04-12 14:34:54,0.0,0.095
2015-04-12 14:34:55,0.0,0.09
2015-04-12 14:34:56,0.0,0.09
2015-04-12 14:34:57,0.0,0.09
2015-04-12 14:34:58,0.0,0.09
2015-04-12 14:34:59,0.0,0.09
2015-04-12 14:35:00,0.0,0.09
2015-04-12 14:35:01,0.0,0.09
2015-04-12 14:35:02,0.0,0.06
2015-04-12 14:35:03,0.0,0.06
2015-04-12 14:35:04,0.0,0.06
2015-04-12 14:35:05,0.0,0.06
2015-04-12 14:35:06,0.0,0.06
2015-04-12 14:35:07,0.0,0.06
2015-04-12 14:35:08,0.0,0.06
2015-04-12 14:35:09,0.0,0.06
