,testo_COppm
2015-04-12 14:36:34,41.7
2015-04-12 14:36:35,41.7
2015-04-12 14:36:36,41.7
2015-04-12 14:36:37,41.3
2015-04-12 14:36:38,41.0
2015-04-12 14:36:39,41.0
2015-04-12 14:36:40,41.0
2015-04-12 14:36:41,41.0
2015-04-12 14:36:42,40.9
2015-04-12 14:36:43,40.9
2015-04-12 14:36:44,40.5
2015-04-12 14:36:45,40.5
2015-04-12 14:36:46,40.4
2015-04-12 14:36:47,40.3
2015-04-12 14:36:48,40.3
2015-04-12 14:36:49,40.3
2015-04-12 14:36:50,39.9
2015-04-12 14:36:51,39.7
2015-04-12 14:36:52,39.7
2015-04-12 14:36:53,39.7
2015-04-12 14:36:54,39.7
2015-04-12 14:36:55,39.5
2015-04-12 14:36:56,39.1
2015-04-12 14:36:57,39.1
2015-04-12 14:36:58,39.1
2015-04-12 14:36:59,39.1
2015-04-12 14:37:00,38.7
2015-04-12 14:37:01,38.7
2015-04-12 14:37:02,38.3
2015-04-12 14:37:03,38.3
2015-04-12 14:37:04,38.2
2015-04-12 14:37:05,38.1
2015-04-12 14:37:06,38.1
2015-04-12 14:37:07,38.1
2015-04-12 14:37:08,37.7
2015-04-12 14:37:09,37.4
2015-04-12 14:37:10,37.4
2015-04-12 14:37:11,37.4
2015-04-12 14:37:12,37.4
2015-04-12 14:37:13,37.2
2015-04-12 14:37:14,37.2
2015-04-12 14:37:15,36.7
2015-04-12 14:37:16,36.7
2015-04-12 14:37:17,36.7
2015-04-12 14:37:18,36.2
2015-04-12 14:37:19,36.2
2015-04-12 14:37:20,35.8
2015-04-12 14:37:21,35.8
2015-04-12 14:37:22,35.7
2015-04-12 14:37:23,35.6
2015-04-12 14:37:24,35.6
2015-04-12 14:37:25,35.6
2015-04-12 14:37:26,35.2
2015-04-12 14:37:27,35.2
2015-04-12 14:37:28,35.0
2015-04-12 14:37:29,34.8
2015-04-12 14:37:30,34.8
2015-04-12 14:37:31,34.5
2015-04-12 14:37:32,34.5
2015-04-12 14:37:33,34.2
2015-04-12 14:37:34,34.2
2015-04-12 14:37:35,34.2
2015-04-12 14:37:36,33.7
2015-04-12 14:37:37,33.7
2015-04-12 14:37:38,33.3
2015-04-12 14:37:39,33.3
2015-04-12 14:37:40,33.3
2015-04-12 14:37:41,33.3
2015-04-12 14:37:42,33.0
2015-04-12 14:37:43,33.0
2015-04-12 14:37:44,32.6
2015-04-12 14:37:45,32.6
2015-04-12 14:37:46,32.45
2015-04-12 14:37:47,32.3
2015-04-12 14:37:48,32.3
2015-04-12 14:37:49,32.0
2015-04-12 14:37:50,32.0
2015-04-12 14:37:51,31.6
2015-04-12 14:37:52,31.6
2015-04-12 14:37:53,31.6
2015-04-12 14:37:54,31.6
2015-04-12 14:37:55,31.4
2015-04-12 14:37:56,31.1
2015-04-12 14:37:57,31.1
2015-04-12 14:37:58,31.1
2015-04-12 14:37:59,31.1
2015-04-12 14:38:00,30.5
2015-04-12 14:38:01,30.5
2015-04-12 14:38:02,30.1
2015-04-12 14:38:03,30.1
2015-04-12 14:38:04,30.0
2015-04-12 14:38:05,29.9
2015-04-12 14:38:06,29.9
2015-04-12 14:38:07,29.9
2015-04-12 14:38:08,29.6
2015-04-12 14:38:09,29.1
2015-04-12 14:38:10,29.1
2015-04-12 14:38:11,29.1
2015-04-12 14:38:12,29.1
2015-04-12 14:38:13,29.0
2015-04-12 14:38:14,28.8
2015-04-12 14:38:15,28.8
2015-04-12 14:38:16,28.8
2015-04-12 14:38:17,28.8
2015-04-12 14:38:18,28.3
2015-04-12 14:38:19,28.3
2015-04-12 14:38:20,27.9
2015-04-12 14:38:21,27.9
2015-04-12 14:38:22,27.75
2015-04-12 14:38:23,27.6
2015-04-12 14:38:24,27.6
2015-04-12 14:38:25,27.6
2015-04-12 14:38:26,27.3
2015-04-12 14:38:27,26.9
2015-04-12 14:38:28,26.9
2015-04-12 14:38:29,26.9
2015-04-12 14:38:30,26.9
2015-04-12 14:38:31,26.6
2015-04-12 14:38:32,26.3
2015-04-12 14:38:33,26.3
2015-04-12 14:38:34,26.3
2015-04-12 14:38:35,26.3
2015-04-12 14:38:36,26.0
2015-04-12 14:38:37,26.0
2015-04-12 14:38:38,25.7
2015-04-12 14:38:39,25.7
2015-04-12 14:38:40,25.5
2015-04-12 14:38:41,25.3
2015-04-12 14:38:42,25.3
2015-04-12 14:38:43,25.3
2015-04-12 14:38:44,25.0
2015-04-12 14:38:45,24.7
2015-04-12 14:38:46,24.7
2015-04-12 14:38:47,24.7
2015-04-12 14:38:48,24.7
