,ae52_BC,ae52_UVPM
2015-04-12 14:35:10,15334.9,15835.1
2015-04-12 14:35:11,21061.8,23112.2
2015-04-12 14:35:12,26788.7,30389.3
2015-04-12 14:35:13,32515.6,37666.4
2015-04-12 14:35:14,38242.5,44943.5
2015-04-12 14:35:15,43969.4,52220.6
2015-04-12 14:35:16,49696.3,59497.7
2015-04-12 14:35:17,55423.2,66774.8
2015-04-12 14:35:18,61150.1,74051.9
2015-04-12 14:35:19,66877.0,81329.0
2015-04-12 14:35:20,77353.3,87909.0
2015-04-12 14:35:21,87829.6,94489.0
2015-04-12 14:35:22,98305.9,101069.0
2015-04-12 14:35:23,108782.2,107649.0
2015-04-12 14:35:24,119258.5,114229.0
2015-04-12 14:35:25,129734.8,120809.0
2015-04-12 14:35:26,140211.1,127389.0
2015-04-12 14:35:27,150687.4,133969.0
2015-04-12 14:35:28,161163.7,140549.0
2015-04-12 14:35:29,171640.0,147129.0
2015-04-12 14:35:30,165124.8,139765.5
2015-04-12 14:35:31,158609.6,132402.0
2015-04-12 14:35:32,152094.4,125038.5
2015-04-12 14:35:33,145579.2,117675.0
2015-04-12 14:35:34,139064.0,110311.5
2015-04-12 14:35:35,132548.8,102948.0
2015-04-12 14:35:36,126033.6,95584.5
2015-04-12 14:35:37,119518.4,88221.0
2015-04-12 14:35:38,113003.2,80857.5
2015-04-12 14:35:39,106488.0,73494.0
2015-04-12 14:35:40,101944.4,71294.1
2015-04-12 14:35:41,97400.8,69094.2
2015-04-12 14:35:42,92857.2,66894.3
2015-04-12 14:35:43,88313.6,64694.4
2015-04-12 14:35:44,83770.0,62494.5
2015-04-12 14:35:45,79226.4,60294.6
2015-04-12 14:35:46,74682.8,58094.7
2015-04-12 14:35:47,70139.2,55894.8
2015-04-12 14:35:48,65595.6,53694.9
2015-04-12 14:35:49,61052.0,51495.0
2015-04-12 14:35:50,60437.9,50706.8
2015-04-12 14:35:51,59823.8,49918.6
2015-04-12 14:35:52,59209.7,49130.4
2015-04-12 14:35:53,58595.6,48342.2
2015-04-12 14:35:54,57981.5,47554.0
2015-04-12 14:35:55,57367.4,46765.8
2015-04-12 14:35:56,56753.3,45977.6
2015-04-12 14:35:57,56139.2,45189.4
2015-04-12 14:35:58,55525.1,44401.2
2015-04-12 14:35:59,54911.0,43613.0
2015-04-12 14:36:00,53516.7,42714.8
2015-04-12 14:36:01,52122.4,41816.6
2015-04-12 14:36:02,50728.1,40918.4
2015-04-12 14:36:03,49333.8,40020.2
2015-04-12 14:36:04,47939.5,39122.0
2015-04-12 14:36:05,46545.2,38223.8
2015-04-12 14:36:06,45150.9,37325.6
2015-04-12 14:36:07,43756.6,36427.4
2015-04-12 14:36:08,42362.3,35529.2
2015-04-12 14:36:09,40968.0,34631.0
2015-04-12 14:36:10,41596.0,35356.6
2015-04-12 14:36:11,42224.0,36082.2
2015-04-12 14:36:12,42852.0,36807.8
2015-04-12 14:36:13,43480.0,37533.4
2015-04-12 14:36:14,44108.0,38259.0
2015-04-12 14:36:15,44736.0,38984.6
2015-04-12 14:36:16,45364.0,39710.2
2015-04-12 14:36:17,45992.0,40435.8
2015-04-12 14:36:18,46620.0,41161.4
2015-04-12 14:36:19,47248.0,41887.0
2015-04-12 14:36:20,46453.5,40884.5
2015-04-12 14:36:21,45659.0,39882.0
2015-04-12 14:36:22,44864.5,38879.5
2015-04-12 14:36:23,44070.0,37877.0
2015-04-12 14:36:24,43275.5,36874.5
2015-04-12 14:36:25,42481.0,35872.0
2015-04-12 14:36:26,41686.5,34869.5
2015-04-12 14:36:27,40892.0,33867.0
2015-04-12 14:36:28,40097.5,32864.5
2015-04-12 14:36:29,39303.0,31862.0
2015-04-12 14:36:30,39662.1,32508.0
2015-04-12 14:36:31,40021.2,33154.0
2015-04-12 14:36:32,40380.3,33800.0
2015-04-12 14:36:33,40739.4,34446.0
2015-04-12 14:36:34,41098.5,35092.0
2015-04-12 14:36:35,41457.6,35738.0
2015-04-12 14:36:36,41816.7,36384.0
2015-04-12 14:36:37,42175.8,37030.0
2015-04-12 14:36:38,42534.9,37676.0
2015-04-12 14:36:39,42894.0,38322.0
2015-04-12 14:36:40,42571.1,37784.9
2015-04-12 14:36:41,42248.2,37247.8
2015-04-12 14:36:42,41925.3,36710.7
2015-04-12 14:36:43,41602.4,36173.6
2015-04-12 14:36:44,41279.5,35636.5
2015-04-12 14:36:45,40956.6,35099.4
2015-04-12 14:36:46,40633.7,34562.3
2015-04-12 14:36:47,40310.8,34025.2
2015-04-12 14:36:48,39987.9,33488.1
2015-04-12 14:36:49,39665.0,32951.0
2015-04-12 14:36:50,39846.2,33352.4
2015-04-12 14:36:51,40027.4,33753.8
2015-04-12 14:36:52,40208.6,34155.2
2015-04-12 14:36:53,40389.8,34556.6
2015-04-12 14:36:54,40571.0,34958.0
2015-04-12 14:36:55,40752.2,35359.4
2015-04-12 14:36:56,40933.4,35760.8
2015-04-12 14:36:57,41114.6,36162.2
2015-04-12 14:36:58,41295.8,36563.6
2015-04-12 14:36:59,41477.0,36965.0
2015-04-12 14:37:00,41799.0,36792.1
2015-04-12 14:37:01,42121.0,36619.2
2015-04-12 14:37:02,42443.0,36446.3
2015-04-12 14:37:03,42765.0,36273.4
2015-04-12 14:37:04,43087.0,36100.5
2015-04-12 14:37:05,43409.0,35927.6
2015-04-12 14:37:06,43731.0,35754.7
2015-04-12 14:37:07,44053.0,35581.8
2015-04-12 14:37:08,44375.0,35408.9
2015-04-12 14:37:09,44697.0,35236.0
2015-04-12 14:37:10,43321.4,34344.9
2015-04-12 14:37:11,41945.8,33453.8
2015-04-12 14:37:12,40570.2,32562.7
2015-04-12 14:37:13,39194.6,31671.6
2015-04-12 14:37:14,37819.0,30780.5
2015-04-12 14:37:15,36443.4,29889.4
2015-04-12 14:37:16,35067.8,28998.3
2015-04-12 14:37:17,33692.2,28107.2
2015-04-12 14:37:18,32316.6,27216.1
2015-04-12 14:37:19,30941.0,26325.0
2015-04-12 14:37:20,31432.2,26938.0
2015-04-12 14:37:21,31923.4,27551.0
2015-04-12 14:37:22,32414.6,28164.0
2015-04-12 14:37:23,32905.8,28777.0
2015-04-12 14:37:24,33397.0,29390.0
2015-04-12 14:37:25,33888.2,30003.0
2015-04-12 14:37:26,34379.4,30616.0
2015-04-12 14:37:27,34870.6,31229.0
2015-04-12 14:37:28,35361.8,31842.0
2015-04-12 14:37:29,35853.0,32455.0
2015-04-12 14:37:30,36596.1,33682.1
2015-04-12 14:37:31,37339.2,34909.2
2015-04-12 14:37:32,38082.3,36136.3
2015-04-12 14:37:33,38825.4,37363.4
2015-04-12 14:37:34,39568.5,38590.5
2015-04-12 14:37:35,40311.6,39817.6
2015-04-12 14:37:36,41054.7,41044.7
2015-04-12 14:37:37,41797.8,42271.8
2015-04-12 14:37:38,42540.9,43498.9
2015-04-12 14:37:39,43284.0,44726.0
2015-04-12 14:37:40,52190.1,53071.1
2015-04-12 14:37:41,61096.2,61416.2
2015-04-12 14:37:42,70002.3,69761.3
2015-04-12 14:37:43,78908.4,78106.4
2015-04-12 14:37:44,87814.5,86451.5
2015-04-12 14:37:45,96720.6,94796.6
2015-04-12 14:37:46,105626.7,103141.7
2015-04-12 14:37:47,114532.8,111486.8
2015-04-12 14:37:48,123438.9,119831.9
2015-04-12 14:37:49,132345.0,128177.0
2015-04-12 14:37:50,136893.5,130246.8
2015-04-12 14:37:51,141442.0,132316.6
2015-04-12 14:37:52,145990.5,134386.4
2015-04-12 14:37:53,150539.0,136456.2
2015-04-12 14:37:54,155087.5,138526.0
2015-04-12 14:37:55,159636.0,140595.8
2015-04-12 14:37:56,164184.5,142665.6
2015-04-12 14:37:57,168733.0,144735.4
2015-04-12 14:37:58,173281.5,146805.2
2015-04-12 14:37:59,177830.0,148875.0
2015-04-12 14:38:00,178383.1,149306.1
2015-04-12 14:38:01,178936.2,149737.2
2015-04-12 14:38:02,179489.3,150168.3
2015-04-12 14:38:03,180042.4,150599.4
2015-04-12 14:38:04,180595.5,151030.5
2015-04-12 14:38:05,181148.6,151461.6
2015-04-12 14:38:06,181701.7,151892.7
2015-04-12 14:38:07,182254.8,152323.8
2015-04-12 14:38:08,182807.9,152754.9
2015-04-12 14:38:09,183361.0,153186.0
2015-04-12 14:38:10,182863.7,152866.4
2015-04-12 14:38:11,182366.4,152546.8
2015-04-12 14:38:12,181869.1,152227.2
2015-04-12 14:38:13,181371.8,151907.6
2015-04-12 14:38:14,180874.5,151588.0
2015-04-12 14:38:15,180377.2,151268.4
2015-04-12 14:38:16,179879.9,150948.8
2015-04-12 14:38:17,179382.6,150629.2
2015-04-12 14:38:18,178885.3,150309.6
2015-04-12 14:38:19,178388.0,149990.0
2015-04-12 14:38:20,178952.1,150031.5
2015-04-12 14:38:21,179516.2,150073.0
2015-04-12 14:38:22,180080.3,150114.5
2015-04-12 14:38:23,180644.4,150156.0
2015-04-12 14:38:24,181208.5,150197.5
2015-04-12 14:38:25,181772.6,150239.0
2015-04-12 14:38:26,182336.7,150280.5
2015-04-12 14:38:27,182900.8,150322.0
2015-04-12 14:38:28,183464.9,150363.5
2015-04-12 14:38:29,184029.0,150405.0
2015-04-12 14:38:30,184538.8,151196.7
2015-04-12 14:38:31,185048.6,151988.4
2015-04-12 14:38:32,185558.4,152780.1
2015-04-12 14:38:33,186068.2,153571.8
2015-04-12 14:38:34,186578.0,154363.5
2015-04-12 14:38:35,187087.8,155155.2
2015-04-12 14:38:36,187597.6,155946.9
2015-04-12 14:38:37,188107.4,156738.6
2015-04-12 14:38:38,188617.2,157530.3
2015-04-12 14:38:39,189127.0,158322.0
2015-04-12 14:38:40,188727.9,160504.9
2015-04-12 14:38:41,188328.8,162687.8
2015-04-12 14:38:42,187929.7,164870.7
2015-04-12 14:38:43,187530.6,167053.6
2015-04-12 14:38:44,187131.5,169236.5
2015-04-12 14:38:45,186732.4,171419.4
2015-04-12 14:38:46,186333.3,173602.3
2015-04-12 14:38:47,185934.2,175785.2
2015-04-12 14:38:48,185535.1,177968.1
2015-04-12 14:38:49,185136.0,180151.0
2015-04-12 14:38:50,223384.9,217996.8
2015-04-12 14:38:51,261633.8,255842.6
2015-04-12 14:38:52,299882.7,293688.4
2015-04-12 14:38:53,338131.6,331534.2
2015-04-12 14:38:54,376380.5,369380.0
2015-04-12 14:38:55,414629.4,407225.8
2015-04-12 14:38:56,452878.3,445071.6
2015-04-12 14:38:57,491127.2,482917.4
2015-04-12 14:38:58,529376.1,520763.2
2015-04-12 14:38:59,567625.0,558609.0
2015-04-12 14:39:00,590389.9,570692.4
2015-04-12 14:39:01,613154.8,582775.8
2015-04-12 14:39:02,635919.7,594859.2
2015-04-12 14:39:03,658684.6,606942.6
2015-04-12 14:39:04,681449.5,619026.0
2015-04-12 14:39:05,704214.4,631109.4
2015-04-12 14:39:06,726979.3,643192.8
2015-04-12 14:39:07,749744.2,655276.2
2015-04-12 14:39:08,772509.1,667359.6
2015-04-12 14:39:09,795274.0,679443.0
2015-04-12 14:39:10,791321.9,677297.9
2015-04-12 14:39:11,787369.8,675152.8
2015-04-12 14:39:12,783417.7,673007.7
2015-04-12 14:39:13,779465.6,670862.6
2015-04-12 14:39:14,775513.5,668717.5
2015-04-12 14:39:15,771561.4,666572.4
2015-04-12 14:39:16,767609.3,664427.3
2015-04-12 14:39:17,763657.2,662282.2
2015-04-12 14:39:18,759705.1,660137.1
2015-04-12 14:39:19,755753.0,657992.0
2015-04-12 14:39:20,759163.0,659853.1
