Date Time,UTC Time,Status,Latitude,,Longitude,,Velocity,,UTC Date,Course,,Date Time,Latitude,,Longitude,,Status,Status,Attenna Height,Geoidal Height
4/12/2015 14:33:18Error At Port,Ask:14,Rec: 14
4/12/2015 14:33:19Error At Port,Ask:278,Rec: 278
4/12/2015 15:25:23,	212449	A	5703.4733	N	11142.0673	W	011.7	107.3	120415	017.8	E
4/12/2015 15:25:24,	212450	A	5703.4724	N	11142.0620	W	010.9	107.1	120415	017.8	E
4/12/2015 15:25:55,	212521	A	5703.4477	N	11141.9233	W	009.8	105.6	120415	017.8	E
4/12/2015 15:26:26,	212552	A	5703.4254	N	11141.7753	W	009.2	096.7	120415	017.8	E
4/12/2015 15:26:39,	212605	A	5703.4163	N	11141.7121	W	008.9	105.2	120415	017.8	E
4/12/2015 15:27:55,	212721	A	5703.3605	N	11141.3225	W	009.4	089.4	120415	017.8	E
4/12/2015 15:27:59,	212725	A	5703.3605	N	11141.3033	W	009.9	093.7	120415	017.8	E
4/12/2015 15:28:19,	212745	A	5703.3752	N	11141.2034	W	009.1	073.8	120415	017.8	E
4/12/2015 15:28:30,	212756	A	5703.3842	N	11141.1505	W	009.1	072.4	120415	017.8	E
4/12/2015 15:29:01,	212827	A	5703.4056	N	11140.9940	W	011.6	075.8	120415	017.8	E
4/12/2015 15:29:11,	212837	A	5703.4138	N	11140.9458	W	009.8	074.4	120415	017.8	E
4/12/2015 15:29:19,	212845	A	5703.4203	N	11140.9055	W	010.9	075.8	120415	017.8	E
4/12/2015 15:30:03,	212929	A	5703.3294	N	11140.7422	W	016.0	183.4	120415	017.7	E
4/12/2015 15:30:19,	212945	A	5703.2705	N	11140.7403	W	012.6	183.3	120415	017.7	E
4/12/2015 15:30:27,	212953	A	5703.2454	N	11140.7478	W	011.0	191.0	120415	017.7	E
4/12/2015 15:30:34,	213000	A	5703.2259	N	11140.7559	W	008.2	195.6	120415	017.7	E
4/12/2015 15:31:05,	213031	A	5703.2059	N	11140.7632	W	000.0	177.0	120415	017.7	E
4/12/2015 15:31:19,	213045	A	5703.2060	N	11140.7632	W	000.0	177.0	120415	017.7	E
4/12/2015 15:31:36,	213102	A	5703.2054	N	11140.7633	W	003.5	194.4	120415	017.7	E
4/12/2015 15:31:43,	213109	A	5703.1975	N	11140.7663	W	003.2	188.3	120415	017.7	E
4/12/2015 15:32:59,	213225	A	5703.1911	N	11140.7781	W	000.0	237.9	120415	017.7	E
4/12/2015 15:33:09,	213235	A	5703.1905	N	11140.7791	W	000.7	242.9	120415	017.7	E
4/12/2015 15:33:19,	213245	A	5703.1903	N	11140.7760	W	000.0	242.9	120415	017.7	E
4/12/2015 15:33:40,	213306	A	5703.1906	N	11140.7747	W	000.0	242.9	120415	017.7	E
4/12/2015 15:34:11,	213337	A	5703.1867	N	11140.7788	W	005.4	206.6	120415	017.7	E
4/12/2015 15:34:15,	213341	A	5703.1801	N	11140.7803	W	006.6	185.0	120415	017.7	E
4/12/2015 15:34:19,	213345	A	5703.1732	N	11140.7776	W	005.6	131.5	120415	017.7	E
4/12/2015 15:35:19,	213445	A	5703.1852	N	11140.7964	W	000.0	332.1	120415	017.7	E
4/12/2015 15:35:31,	213457	A	5703.1851	N	11140.7964	W	000.0	332.1	120415	017.7	E
4/12/2015 15:35:44,	213510	A	5703.1852	N	11140.7955	W	000.0	332.1	120415	017.7	E
4/12/2015 15:36:15,	213541	A	5703.1945	N	11140.7229	W	009.1	020.1	120415	017.7	E
4/12/2015 15:36:19,	213545	A	5703.2051	N	11140.7177	W	009.3	013.5	120415	017.7	E
4/12/2015 15:36:46,	213612	A	5703.2898	N	11140.7022	W	014.9	003.2	120415	017.7	E
4/12/2015 15:36:47,	213613	A	5703.2936	N	11140.7018	W	014.7	000.6	120415	017.7	E
4/12/2015 15:37:19,	213645	A	5703.4205	N	11140.7665	W	015.0	311.0	120415	017.7	E
4/12/2015 15:38:03,	213729	A	5703.4091	N	11141.0915	W	012.6	254.7	120415	017.8	E
4/12/2015 15:38:19,	213745	A	5703.3957	N	11141.1914	W	012.4	255.0	120415	017.8	E
4/12/2015 15:38:20,	213746	A	5703.3945	N	11141.1974	W	012.1	257.0	120415	017.8	E
4/12/2015 15:38:50,	213816	A	5703.3938	N	11141.4150	W	016.8	285.6	120415	017.8	E
4/12/2015 15:39:19,	213845	A	5703.4269	N	11141.6462	W	016.7	284.6	120415	017.8	E
4/12/2015 15:40:54,	214020	A	5703.4564	N	11142.2447	W	013.4	212.7	120415	017.8	E
4/12/2015 15:41:19,	214045	A	5703.3773	N	11142.3572	W	014.5	224.2	120415	017.8	E
4/12/2015 15:41:25,	214051	A	5703.3618	N	11142.3904	W	013.1	231.1	120415	017.8	E
4/12/2015 15:41:51,	214117	A	5703.2997	N	11142.5424	W	012.9	224.3	120415	017.8	E
4/12/2015 15:43:07,	214233	A	5703.0703	N	11142.8082	W	018.3	180.1	120415	017.8	E
4/12/2015 15:43:19,	214245	A	5703.0135	N	11142.8107	W	016.1	175.9	120415	017.8	E
4/12/2015 15:44:19,	214345	A	5702.7551	N	11142.5947	W	010.5	169.2	120415	017.8	E
4/12/2015 15:44:23,	214349	A	5702.7448	N	11142.5942	W	010.1	176.4	120415	017.8	E
4/12/2015 15:46:04,	214530	A	5702.7662	N	11142.1179	W	005.6	004.0	120415	017.8	E
4/12/2015 15:46:35,	214601	A	5702.8069	N	11142.1158	W	001.8	357.6	120415	017.8	E
4/12/2015 15:47:20,	214646	A	5702.8139	N	11142.1169	W	000.0	357.6	120415	017.8	E
4/12/2015 15:47:37,	214703	A	5702.8152	N	11142.1166	W	000.0	357.6	120415	017.8	E
4/12/2015 15:48:08,	214734	A	5702.8184	N	11142.1167	W	000.0	357.6	120415	017.8	E
