,co2tpi_CO2ppm
2015-04-12 14:36:17,17107.2
2015-04-12 14:36:18,17085.4
2015-04-12 14:36:19,17088.45
2015-04-12 14:36:20,17091.5
2015-04-12 14:36:21,17091.6
2015-04-12 14:36:22,17086.9
2015-04-12 14:36:23,17082.2
2015-04-12 14:36:24,17084.8666667
2015-04-12 14:36:25,17087.5333333
2015-04-12 14:36:26,17090.2
2015-04-12 14:36:27,17070.2
2015-04-12 14:36:28,17069.9
2015-04-12 14:36:29,17069.6
2015-04-12 14:36:30,17076.4
2015-04-12 14:36:31,17127.85
2015-04-12 14:36:32,17179.3
2015-04-12 14:36:33,17410.1
2015-04-12 14:36:34,17444.0
2015-04-12 14:36:35,17477.9
2015-04-12 14:36:36,17661.5
2015-04-12 14:36:37,17664.6
2015-04-12 14:36:38,17667.7
2015-04-12 14:36:39,17680.7
2015-04-12 14:36:40,17671.55
2015-04-12 14:36:41,17662.4
2015-04-12 14:36:42,17644.9
2015-04-12 14:36:43,17620.55
2015-04-12 14:36:44,17596.2
2015-04-12 14:36:45,17577.7
2015-04-12 14:36:46,17568.9
2015-04-12 14:36:47,17560.1
2015-04-12 14:36:48,17559.8333333
2015-04-12 14:36:49,17559.5666667
2015-04-12 14:36:50,17559.3
2015-04-12 14:36:51,17549.3
2015-04-12 14:36:52,17557.35
2015-04-12 14:36:53,17565.4
2015-04-12 14:36:54,17575.0
2015-04-12 14:36:55,17592.45
2015-04-12 14:36:56,17609.9
2015-04-12 14:36:57,17621.8
2015-04-12 14:36:58,17619.2
2015-04-12 14:36:59,17616.6
2015-04-12 14:37:00,17623.5
2015-04-12 14:37:01,17616.25
2015-04-12 14:37:02,17609.0
2015-04-12 14:37:03,17579.3
2015-04-12 14:37:04,17559.3
2015-04-12 14:37:05,17539.3
2015-04-12 14:37:06,17465.9
2015-04-12 14:37:07,17444.7
2015-04-12 14:37:08,17423.5
2015-04-12 14:37:09,17400.3
2015-04-12 14:37:10,17383.7
2015-04-12 14:37:11,17367.1
2015-04-12 14:37:12,17362.4
2015-04-12 14:37:13,17357.7
2015-04-12 14:37:14,17353.0
2015-04-12 14:37:15,17296.1
2015-04-12 14:37:16,17292.7
2015-04-12 14:37:17,17289.3
2015-04-12 14:37:18,17279.1
2015-04-12 14:37:19,17250.05
2015-04-12 14:37:20,17221.0
2015-04-12 14:37:21,17232.3
2015-04-12 14:37:22,17223.3
2015-04-12 14:37:23,17214.3
2015-04-12 14:37:24,17220.8
2015-04-12 14:37:25,17203.2
2015-04-12 14:37:26,17185.6
2015-04-12 14:37:27,17195.6
2015-04-12 14:37:28,17196.25
2015-04-12 14:37:29,17196.9
2015-04-12 14:37:30,17245.6
2015-04-12 14:37:31,17399.9
2015-04-12 14:37:32,17554.2
2015-04-12 14:37:33,17578.8
2015-04-12 14:37:34,17676.3
2015-04-12 14:37:35,17773.8
2015-04-12 14:37:36,17774.5666667
2015-04-12 14:37:37,17775.3333333
2015-04-12 14:37:38,17776.1
2015-04-12 14:37:39,17780.0
2015-04-12 14:37:40,17775.7
2015-04-12 14:37:41,17771.4
2015-04-12 14:37:42,17743.7
2015-04-12 14:37:43,17717.4
