AE51	
Date Time	IR: Ref;IR Sense;IR Atten;UV: Ref;UV: Sense;UV Atten;Flow (mL/m);Temp (C);0;0;IR BC;UV BC	2015/04/12;14:33:18;
2015/04/12;14:43:38;6832991;2112818;117.37;4415284;4010600;9.61;25956;48;0;0;3830194;-1416982
2015/04/12;14:43:48;14683114;12911357;12.86;3280088;9765092;-109.09;8448;15;0;0;-4197570;-2070160
2015/04/12;14:43:58;4415284;4010600;9.61;6239281;3303491;63.59;25953;57;0;0;-42435;980260
2015/04/12;14:44:08;780729;175768;149.11;841811;50072;282.21;102;33;0;0;464009046;315770151
2015/04/12;14:44:18;6239281;3303491;63.59;3420465;6832991;-69.20;13874;99;0;0;-2091358;-3731553
2015/04/12;14:44:28;15342925;7121163;76.76;14165760;11610636;19.89;25612;0;0;0;174466;512462
2015/04/12;14:44:38;3420465;6832991;-69.20;3223875;4415284;-31.45;12832;51;0;0;-3859260;-589436
2015/04/12;14:44:48;8539450;11602921;-30.66;5832793;6884568;-16.58;3277;102;0;0;3990597;668527
2015/04/12;14:44:58;3223875;4415284;-31.45;3228484;6239281;-65.89;8224;50;0;0;-32707;-883286
2015/04/12;14:45:08;5061208;780604;186.93;22790;841738;-360.91;52643;12;0;0;1407479;-825666
2015/04/12;14:45:18;3228484;6239281;-65.89;4408388;3420465;25.37;8253;32;0;0;-10393545;6895710
2015/04/12;14:45:28;3823669;15288141;-138.59;5834269;14157568;-88.65;47617;205;0;0;-518030;-352786
2015/04/12;14:45:38;4408388;3420465;25.37;4473951;3223875;32.77;15666;32;0;0;3551022;1141846
2015/04/12;14:45:48;5780805;2706746;75.88;403242;12451929;-343.01;460;192;0;0;37253022;-120352030
2015/04/12;14:45:58;4473951;3223875;32.77;4480876;3228484;32.78;12904;61;0;0;-1133536;4290427
2015/04/12;14:46:08;3491137;5061208;-37.14;3222030;22788;495.15;43244;1;0;0;-548486;1575237
2015/04/12;14:46:18;4480876;3228484;32.78;6253685;4408388;34.97;26691;50;0;0;888792;-2540091
2015/04/12;14:46:28;4538662;3823669;17.14;2756108;5833787;-74.98;31755;161;0;0;-167091;-510113
2015/04/12;14:46:38;6253685;4408388;34.97;7107943;4473951;46.29;17247;104;0;0;350643;1035979
2015/04/12;14:46:48;4269570;5780805;-30.30;920580;264491;124.72;3048;110;0;0;-7265520;3790726
2015/04/12;14:46:58;7107943;4473951;46.29;7694133;4480876;54.06;24372;67;0;0;1066337;-427106
2015/04/12;14:47:08;2490937;3491137;-33.76;787471;1256206;-46.70;59591;11;0;0;-455784;-249124
2015/04/12;14:47:18;7694083;4480876;54.06;6764642;6253685;7.85;13361;95;0;0;2230123;601570
2015/04/12;14:47:28;143928;4538662;-345.11;266017;2821644;-236.15;32845;232;0;0;-4123472;-1094485
2015/04/12;14:47:38;6751108;6253685;7.65;3684197;7107943;-65.72;12593;52;0;0;9504407;1993932
2015/04/12;14:47:48;6501220;4269570;42.05;991488;920580;7.42;19770;213;0;0;590270;545012
2015/04/12;14:47:58;199437;7107943;-357.35;3433273;7694180;-80.70;12611;49;0;0;-10745493;-1029394
2015/04/12;14:48:08;6382391;2490930;94.09;2162739;787471;101.03;14936;77;0;0;10254988;1792508
2015/04/12;14:48:18;5311754;7694083;-37.05;3750193;6762853;-58.96;17220;49;0;0;-2583932;-1368834
2015/04/12;14:48:28;6436640;144486;379.66;13836;266017;-295.63;22581;58;0;0;6261311;-1544082
2015/04/12;14:48:38;854539;6750976;-206.69;3748128;3748657;-0.01;17476;67;0;0;-11383755;2492088
2015/04/12;14:48:48;3612704;3487801;3.52;3869902;991488;136.18;13637;88;0;0;5229992;1471337
2015/04/12;14:48:58;658193;208141;115.13;3219488;3487032;-7.98;17503;68;0;0;2163532;-1213428
2015/04/12;14:49:08;2105405;3618359;-54.15;839243;2162753;-94.66;17729;53;0;0;-3239618;-720308
2015/04/12;14:49:18;725494;4918538;-191.39;2105405;3553073;-52.33;24428;68;0;0;-1906193;255313
