,co2dil_CO2ppm
2015-04-12 14:36:26,421.3
2015-04-12 14:36:27,417.0
2015-04-12 14:36:28,416.9
2015-04-12 14:36:29,416.8
2015-04-12 14:36:30,418.4
2015-04-12 14:36:31,425.4
2015-04-12 14:36:32,432.4
2015-04-12 14:36:33,433.0
2015-04-12 14:36:34,434.75
2015-04-12 14:36:35,436.5
2015-04-12 14:36:36,446.4
2015-04-12 14:36:37,447.15
2015-04-12 14:36:38,447.9
2015-04-12 14:36:39,446.4
2015-04-12 14:36:40,443.45
2015-04-12 14:36:41,440.5
2015-04-12 14:36:42,429.7
2015-04-12 14:36:43,427.633333333
2015-04-12 14:36:44,425.566666667
2015-04-12 14:36:45,423.5
2015-04-12 14:36:46,423.85
2015-04-12 14:36:47,424.2
2015-04-12 14:36:48,426.7
2015-04-12 14:36:49,426.3
2015-04-12 14:36:50,425.9
2015-04-12 14:36:51,425.2
2015-04-12 14:36:52,424.9
2015-04-12 14:36:53,424.6
2015-04-12 14:36:54,424.1
2015-04-12 14:36:55,427.45
2015-04-12 14:36:56,430.8
2015-04-12 14:36:57,431.8
2015-04-12 14:36:58,432.2
2015-04-12 14:36:59,432.6
2015-04-12 14:37:00,432.8
2015-04-12 14:37:01,433.05
2015-04-12 14:37:02,433.3
2015-04-12 14:37:03,433.4
2015-04-12 14:37:04,432.6
2015-04-12 14:37:05,431.8
2015-04-12 14:37:06,426.8
2015-04-12 14:37:07,422.066666667
2015-04-12 14:37:08,417.333333333
2015-04-12 14:37:09,412.6
2015-04-12 14:37:10,408.2
2015-04-12 14:37:11,403.8
2015-04-12 14:37:12,402.1
2015-04-12 14:37:13,401.3
2015-04-12 14:37:14,400.5
2015-04-12 14:37:15,400.6
2015-04-12 14:37:16,400.4
2015-04-12 14:37:17,400.2
2015-04-12 14:37:18,396.2
2015-04-12 14:37:19,395.95
2015-04-12 14:37:20,395.7
2015-04-12 14:37:21,395.9
2015-04-12 14:37:22,397.9
2015-04-12 14:37:23,399.9
2015-04-12 14:37:24,405.7
2015-04-12 14:37:25,406.9
2015-04-12 14:37:26,408.1
2015-04-12 14:37:27,415.6
2015-04-12 14:37:28,417.15
2015-04-12 14:37:29,418.7
2015-04-12 14:37:30,424.9
2015-04-12 14:37:31,424.866666667
2015-04-12 14:37:32,424.833333333
2015-04-12 14:37:33,424.8
2015-04-12 14:37:34,422.95
2015-04-12 14:37:35,421.1
2015-04-12 14:37:36,420.6
2015-04-12 14:37:37,429.8
2015-04-12 14:37:38,439.0
2015-04-12 14:37:39,484.9
2015-04-12 14:37:40,512.8
2015-04-12 14:37:41,540.7
2015-04-12 14:37:42,598.6
2015-04-12 14:37:43,619.9
2015-04-12 14:37:44,641.2
2015-04-12 14:37:45,682.9
2015-04-12 14:37:46,705.65
2015-04-12 14:37:47,728.4
2015-04-12 14:37:48,765.4
2015-04-12 14:37:49,778.75
2015-04-12 14:37:50,792.1
2015-04-12 14:37:51,808.6
2015-04-12 14:37:52,809.0
2015-04-12 14:37:53,809.4
2015-04-12 14:37:54,811.166666667
2015-04-12 14:37:55,812.933333333
2015-04-12 14:37:56,814.7
2015-04-12 14:37:57,821.8
2015-04-12 14:37:58,822.25
2015-04-12 14:37:59,822.7
2015-04-12 14:38:00,822.6
2015-04-12 14:38:01,822.25
2015-04-12 14:38:02,821.9
2015-04-12 14:38:03,821.1
2015-04-12 14:38:04,820.45
2015-04-12 14:38:05,819.8
2015-04-12 14:38:06,819.1
2015-04-12 14:38:07,818.65
2015-04-12 14:38:08,818.2
2015-04-12 14:38:09,812.2
2015-04-12 14:38:10,806.6
2015-04-12 14:38:11,801.0
2015-04-12 14:38:12,796.2
2015-04-12 14:38:13,795.1
2015-04-12 14:38:14,794.0
2015-04-12 14:38:15,794.7
2015-04-12 14:38:16,795.75
2015-04-12 14:38:17,796.8
2015-04-12 14:38:18,797.0
2015-04-12 14:38:19,797.2
2015-04-12 14:38:20,797.4
2015-04-12 14:38:21,817.1
2015-04-12 14:38:22,825.65
2015-04-12 14:38:23,834.2
2015-04-12 14:38:24,835.0
2015-04-12 14:38:25,834.85
2015-04-12 14:38:26,834.7
2015-04-12 14:38:27,818.0
2015-04-12 14:38:28,816.5
2015-04-12 14:38:29,815.0
2015-04-12 14:38:30,815.1
2015-04-12 14:38:31,816.0
2015-04-12 14:38:32,816.9
2015-04-12 14:38:33,834.6
2015-04-12 14:38:34,837.85
2015-04-12 14:38:35,841.1
2015-04-12 14:38:36,841.9
2015-04-12 14:38:37,841.8
2015-04-12 14:38:38,841.7
2015-04-12 14:38:39,837.3
2015-04-12 14:38:40,835.05
2015-04-12 14:38:41,832.8
2015-04-12 14:38:42,832.7
2015-04-12 14:38:43,832.6
2015-04-12 14:38:44,832.5
2015-04-12 14:38:45,832.8
2015-04-12 14:38:46,833.05
2015-04-12 14:38:47,833.3
2015-04-12 14:38:48,834.0
2015-04-12 14:38:49,837.2
2015-04-12 14:38:50,840.4
2015-04-12 14:38:51,893.4
2015-04-12 14:38:52,940.95
2015-04-12 14:38:53,988.5
2015-04-12 14:38:54,1099.8
2015-04-12 14:38:55,1153.95
2015-04-12 14:38:56,1208.1
2015-04-12 14:38:57,1322.3
2015-04-12 14:38:58,1372.05
2015-04-12 14:38:59,1421.8
2015-04-12 14:39:00,1506.1
2015-04-12 14:39:01,1549.6
2015-04-12 14:39:02,1593.1
2015-04-12 14:39:03,1644.4
2015-04-12 14:39:04,1650.35
2015-04-12 14:39:05,1656.3
2015-04-12 14:39:06,1656.03333333
2015-04-12 14:39:07,1655.76666667
2015-04-12 14:39:08,1655.5
2015-04-12 14:39:09,1655.8
2015-04-12 14:39:10,1659.65
2015-04-12 14:39:11,1663.5
2015-04-12 14:39:12,1688.9
2015-04-12 14:39:13,1691.95
2015-04-12 14:39:14,1695.0
2015-04-12 14:39:15,1704.9
2015-04-12 14:39:16,1705.2
2015-04-12 14:39:17,1705.5
2015-04-12 14:39:18,1675.4
2015-04-12 14:39:19,1666.35
2015-04-12 14:39:20,1657.3
2015-04-12 14:39:21,1657.8
2015-04-12 14:39:22,1652.9
2015-04-12 14:39:23,1648.0
2015-04-12 14:39:24,1637.8
2015-04-12 14:39:25,1637.75
2015-04-12 14:39:26,1637.7
2015-04-12 14:39:27,1667.2
2015-04-12 14:39:28,1690.05
2015-04-12 14:39:29,1712.9
2015-04-12 14:39:30,1712.83333333
2015-04-12 14:39:31,1712.76666667
2015-04-12 14:39:32,1712.7
2015-04-12 14:39:33,1630.5
2015-04-12 14:39:34,1629.85
2015-04-12 14:39:35,1629.2
2015-04-12 14:39:36,1681.2
2015-04-12 14:39:37,1721.05
2015-04-12 14:39:38,1760.9
2015-04-12 14:39:39,1808.2
2015-04-12 14:39:40,1850.25
2015-04-12 14:39:41,1892.3
2015-04-12 14:39:42,1927.2
2015-04-12 14:39:43,1875.1
2015-04-12 14:39:44,1823.0
2015-04-12 14:39:45,1794.6
2015-04-12 14:39:46,1854.95
2015-04-12 14:39:47,1915.3
2015-04-12 14:39:48,2271.3
2015-04-12 14:39:49,2321.6
2015-04-12 14:39:50,2371.9
2015-04-12 14:39:51,2272.1
2015-04-12 14:39:52,2406.7
2015-04-12 14:39:53,2541.3
2015-04-12 14:39:54,2701.13333333
2015-04-12 14:39:55,2860.96666667
2015-04-12 14:39:56,3020.8
2015-04-12 14:39:57,3741.9
2015-04-12 14:39:58,3984.2
2015-04-12 14:39:59,4226.5
2015-04-12 14:40:00,4200.9
2015-04-12 14:40:01,4115.7
2015-04-12 14:40:02,4030.5
2015-04-12 14:40:03,3695.6
2015-04-12 14:40:04,3558.3
2015-04-12 14:40:05,3421.0
2015-04-12 14:40:06,3209.8
2015-04-12 14:40:07,3154.5
2015-04-12 14:40:08,3099.2
2015-04-12 14:40:09,2913.6
2015-04-12 14:40:10,2759.1
2015-04-12 14:40:11,2604.6
2015-04-12 14:40:12,2128.9
2015-04-12 14:40:13,1893.35
2015-04-12 14:40:14,1657.8
2015-04-12 14:40:15,1574.2
2015-04-12 14:40:16,1792.8
2015-04-12 14:40:17,2011.4
2015-04-12 14:40:18,2313.53333333
2015-04-12 14:40:19,2615.66666667
2015-04-12 14:40:20,2917.8
2015-04-12 14:40:21,5713.5
2015-04-12 14:40:22,7489.55
2015-04-12 14:40:23,9265.6
2015-04-12 14:40:24,11053.7
2015-04-12 14:40:25,12409.8
2015-04-12 14:40:26,13765.9
2015-04-12 14:40:27,16135.3
2015-04-12 14:40:28,15512.35
2015-04-12 14:40:29,14889.4
2015-04-12 14:40:30,13515.2
2015-04-12 14:40:31,13531.75
2015-04-12 14:40:32,13548.3
2015-04-12 14:40:33,14763.6
2015-04-12 14:40:34,15199.2
2015-04-12 14:40:35,15634.8
2015-04-12 14:40:36,14360.9
2015-04-12 14:40:37,13398.85
2015-04-12 14:40:38,12436.8
2015-04-12 14:40:39,10178.8
2015-04-12 14:40:40,9042.2
2015-04-12 14:40:41,7905.6
2015-04-12 14:40:42,7339.63333333
2015-04-12 14:40:43,6773.66666667
2015-04-12 14:40:44,6207.7
2015-04-12 14:40:45,4811.6
2015-04-12 14:40:46,4208.85
2015-04-12 14:40:47,3606.1
2015-04-12 14:40:48,2726.6
2015-04-12 14:40:49,2402.55
2015-04-12 14:40:50,2078.5
2015-04-12 14:40:51,1598.6
2015-04-12 14:40:52,1464.05
2015-04-12 14:40:53,1329.5
2015-04-12 14:40:54,1792.1
2015-04-12 14:40:55,2317.75
2015-04-12 14:40:56,2843.4
2015-04-12 14:40:57,3895.0
2015-04-12 14:40:58,4206.45
2015-04-12 14:40:59,4517.9
2015-04-12 14:41:00,4307.0
2015-04-12 14:41:01,4143.85
2015-04-12 14:41:02,3980.7
2015-04-12 14:41:03,3681.4
2015-04-12 14:41:04,3400.5
2015-04-12 14:41:05,3119.6
2015-04-12 14:41:06,3074.53333333
2015-04-12 14:41:07,3029.46666667
2015-04-12 14:41:08,2984.4
2015-04-12 14:41:09,3714.0
2015-04-12 14:41:10,4044.55
2015-04-12 14:41:11,4375.1
2015-04-12 14:41:12,5529.0
2015-04-12 14:41:13,6245.0
2015-04-12 14:41:14,6961.0
2015-04-12 14:41:15,8332.7
2015-04-12 14:41:16,8450.0
2015-04-12 14:41:17,8567.3
2015-04-12 14:41:18,8061.2
2015-04-12 14:41:19,8635.65
2015-04-12 14:41:20,9210.1
2015-04-12 14:41:21,11754.9
2015-04-12 14:41:22,12160.9
2015-04-12 14:41:23,12566.9
2015-04-12 14:41:24,11138.2
2015-04-12 14:41:25,9623.75
2015-04-12 14:41:26,8109.3
2015-04-12 14:41:27,6888.5
2015-04-12 14:41:28,7259.7
2015-04-12 14:41:29,7630.9
2015-04-12 14:41:30,8066.8
2015-04-12 14:41:31,8502.7
2015-04-12 14:41:32,8938.6
2015-04-12 14:41:33,9235.7
2015-04-12 14:41:34,8962.9
2015-04-12 14:41:35,8690.1
2015-04-12 14:41:36,7975.2
2015-04-12 14:41:37,7659.6
2015-04-12 14:41:38,7344.0
2015-04-12 14:41:39,6995.1
2015-04-12 14:41:40,6252.55
2015-04-12 14:41:41,5510.0
2015-04-12 14:41:42,3816.3
2015-04-12 14:41:43,3462.45
2015-04-12 14:41:44,3108.6
2015-04-12 14:41:45,4546.9
2015-04-12 14:41:46,7259.55
2015-04-12 14:41:47,9972.2
