,vim_eng_fuel_rate,vim_eng_ground_spd,vim_eng_load,vim_eng_payload,vim_eng_rpm
2015-04-12 14:36:37,8.07,0.0,7.0,0.0,705.0
2015-04-12 14:36:38,8.031,0.0,7.0,0.0,701.5
2015-04-12 14:36:39,7.978,0.0,7.0,0.0,700.5
2015-04-12 14:36:40,7.978,0.0,7.0,0.0,699.5
2015-04-12 14:36:41,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:36:42,8.163,0.0,8.0,0.0,699.5
2015-04-12 14:36:43,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:36:44,8.097,0.0,8.0,0.0,699.5
2015-04-12 14:36:45,8.097,0.0,8.0,0.0,700.5
2015-04-12 14:36:46,8.07,0.0,7.0,0.0,700.0
2015-04-12 14:36:47,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:36:48,8.004,0.0,7.0,0.0,700.5
2015-04-12 14:36:49,8.004,0.0,7.0,0.0,699.5
2015-04-12 14:36:50,8.031,0.0,7.0,0.0,700.5
2015-04-12 14:36:51,8.031,0.0,7.0,0.0,700.0
2015-04-12 14:36:52,8.031,0.0,7.0,0.0,700.5
2015-04-12 14:36:53,8.097,0.0,8.0,0.0,699.0
2015-04-12 14:36:54,8.163,0.0,8.0,0.0,700.0
2015-04-12 14:36:55,8.07,0.0,8.0,0.0,700.0
2015-04-12 14:36:56,8.163,0.0,8.0,0.0,700.0
2015-04-12 14:36:57,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:36:58,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:36:59,8.097,0.0,8.0,0.0,700.5
2015-04-12 14:37:00,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:37:01,8.123,0.0,8.0,0.0,700.5
2015-04-12 14:37:02,8.097,0.0,8.0,0.0,699.5
2015-04-12 14:37:03,8.097,0.0,8.0,0.0,700.5
2015-04-12 14:37:04,8.07,0.0,8.0,0.0,700.0
2015-04-12 14:37:05,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:37:06,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:37:07,7.978,0.0,7.0,0.0,700.5
2015-04-12 14:37:08,8.097,0.0,8.0,0.0,700.5
2015-04-12 14:37:09,8.097,0.0,8.0,0.0,699.5
2015-04-12 14:37:10,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:37:11,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:37:12,8.07,0.0,8.0,0.0,700.5
2015-04-12 14:37:13,8.031,0.0,7.0,0.0,700.5
2015-04-12 14:37:14,8.07,0.0,8.0,0.0,700.0
2015-04-12 14:37:15,8.163,0.0,8.0,0.0,700.0
2015-04-12 14:37:16,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:37:17,8.123,0.0,8.0,0.0,700.5
2015-04-12 14:37:18,9.167,0.0,9.0,0.0,691.5
2015-04-12 14:37:19,9.603,0.0,9.0,0.0,695.0
2015-04-12 14:37:20,9.761,0.0,10.0,0.0,699.5
2015-04-12 14:37:21,8.374,0.0,8.0,0.0,709.0
2015-04-12 14:37:22,7.912,0.0,7.0,0.0,704.5
2015-04-12 14:37:23,8.031,0.0,7.0,0.0,700.5
2015-04-12 14:37:24,7.978,0.0,7.0,0.0,700.0
2015-04-12 14:37:25,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:37:26,8.07,0.0,8.0,0.0,699.5
2015-04-12 14:37:27,8.07,0.0,8.0,0.0,700.0
2015-04-12 14:37:28,8.123,0.0,8.0,0.0,699.5
2015-04-12 14:37:29,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:37:30,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:37:31,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:37:32,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:37:33,8.031,0.0,7.0,0.0,699.5
2015-04-12 14:37:34,8.123,0.0,8.0,0.0,700.5
2015-04-12 14:37:35,8.07,0.0,7.0,0.0,700.0
2015-04-12 14:37:36,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:37:37,8.718,0.0,8.0,0.0,696.0
2015-04-12 14:37:38,9.061,0.0,9.0,0.0,698.0
2015-04-12 14:37:39,9.061,0.0,9.0,0.0,699.0
2015-04-12 14:37:40,8.374,0.0,8.0,0.0,705.0
2015-04-12 14:37:41,8.163,0.0,8.0,0.0,702.5
2015-04-12 14:37:42,8.07,0.0,7.0,0.0,700.5
2015-04-12 14:37:43,8.097,0.0,8.0,0.0,700.5
2015-04-12 14:37:44,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:37:45,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:37:46,8.189,0.0,8.0,0.0,699.5
2015-04-12 14:37:47,8.097,0.0,8.0,0.0,699.0
2015-04-12 14:37:48,8.163,0.0,8.0,0.0,701.0
2015-04-12 14:37:49,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:37:50,8.189,0.0,8.0,0.0,700.0
2015-04-12 14:37:51,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:37:52,8.07,0.0,8.0,0.0,701.0
2015-04-12 14:37:53,8.097,0.0,8.0,0.0,699.5
2015-04-12 14:37:54,8.123,0.0,8.0,0.0,700.5
2015-04-12 14:37:55,8.097,0.0,8.0,0.0,700.5
2015-04-12 14:37:56,8.07,0.0,8.0,0.0,699.5
2015-04-12 14:37:57,8.123,0.0,8.0,0.0,700.5
2015-04-12 14:37:58,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:37:59,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:38:00,8.123,0.0,8.0,0.0,699.5
2015-04-12 14:38:01,8.123,0.0,8.0,0.0,700.5
2015-04-12 14:38:02,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:38:03,8.229,0.0,8.0,0.0,700.0
2015-04-12 14:38:04,8.189,0.0,8.0,0.0,699.5
2015-04-12 14:38:05,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:38:06,8.163,0.0,8.0,0.0,700.5
2015-04-12 14:38:07,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:38:08,8.163,0.0,8.0,0.0,700.0
2015-04-12 14:38:09,8.097,0.0,8.0,0.0,699.5
2015-04-12 14:38:10,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:38:11,8.07,0.0,8.0,0.0,700.0
2015-04-12 14:38:12,8.229,0.0,8.0,0.0,699.5
2015-04-12 14:38:13,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:38:14,8.123,0.0,8.0,0.0,700.5
2015-04-12 14:38:15,8.123,0.0,8.0,0.0,699.5
2015-04-12 14:38:16,8.189,0.0,8.0,0.0,700.0
2015-04-12 14:38:17,9.444,0.0,9.0,0.0,691.5
2015-04-12 14:38:18,9.814,0.0,10.0,0.0,696.5
2015-04-12 14:38:19,9.814,0.0,10.0,0.0,699.0
2015-04-12 14:38:20,8.07,0.0,7.0,0.0,708.0
2015-04-12 14:38:21,8.07,0.0,7.0,0.0,702.0
2015-04-12 14:38:22,7.978,0.0,7.0,0.0,700.5
2015-04-12 14:38:23,8.07,0.0,8.0,0.0,700.5
2015-04-12 14:38:24,8.031,0.0,7.0,0.0,700.0
2015-04-12 14:38:25,8.163,0.0,8.0,0.0,700.0
2015-04-12 14:38:26,8.163,0.0,8.0,0.0,700.0
2015-04-12 14:38:27,8.07,0.0,7.0,0.0,700.5
2015-04-12 14:38:28,8.189,0.0,8.0,0.0,699.5
2015-04-12 14:38:29,8.07,0.0,7.0,0.0,700.5
2015-04-12 14:38:30,8.229,0.0,8.0,0.0,699.5
2015-04-12 14:38:31,8.07,0.0,7.0,0.0,700.5
2015-04-12 14:38:32,8.163,0.0,8.0,0.0,700.0
2015-04-12 14:38:33,8.123,0.0,8.0,0.0,700.5
2015-04-12 14:38:34,8.123,0.0,8.0,0.0,700.5
2015-04-12 14:38:35,8.229,0.0,8.0,0.0,699.5
2015-04-12 14:38:36,8.031,0.0,7.0,0.0,700.5
2015-04-12 14:38:37,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:38:38,8.163,0.0,8.0,0.0,700.0
2015-04-12 14:38:39,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:38:40,8.321,0.0,8.0,0.0,697.5
2015-04-12 14:38:41,8.942,0.0,9.0,0.0,697.5
2015-04-12 14:38:42,9.061,0.0,9.0,0.0,698.0
2015-04-12 14:38:43,9.259,0.0,9.0,0.0,699.0
2015-04-12 14:38:44,8.229,0.0,8.0,0.0,704.0
2015-04-12 14:38:45,8.163,0.0,8.0,0.0,701.5
2015-04-12 14:38:46,8.189,0.0,8.0,0.0,701.0
2015-04-12 14:38:47,8.163,0.0,8.0,0.0,700.5
2015-04-12 14:38:48,8.255,0.0,8.0,0.0,700.0
2015-04-12 14:38:49,8.189,0.0,8.0,0.0,699.0
2015-04-12 14:38:50,8.282,0.0,8.0,0.0,700.0
2015-04-12 14:38:51,8.282,0.0,8.0,0.0,700.5
2015-04-12 14:38:52,8.189,0.0,8.0,0.0,700.0
2015-04-12 14:38:53,8.123,0.0,8.0,0.0,699.5
2015-04-12 14:38:54,8.229,0.0,8.0,0.0,700.0
2015-04-12 14:38:55,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:38:56,8.255,0.0,8.0,0.0,700.0
2015-04-12 14:38:57,8.123,0.0,8.0,0.0,699.5
2015-04-12 14:38:58,8.123,0.0,8.0,0.0,700.5
2015-04-12 14:38:59,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:39:00,8.163,0.0,8.0,0.0,700.0
2015-04-12 14:39:01,8.189,0.0,8.0,0.0,699.5
2015-04-12 14:39:02,8.031,0.0,7.0,0.0,699.5
2015-04-12 14:39:03,8.123,0.0,8.0,0.0,700.5
2015-04-12 14:39:04,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:39:05,8.229,0.0,8.0,0.0,699.5
2015-04-12 14:39:06,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:39:07,8.097,0.0,8.0,0.0,700.5
2015-04-12 14:39:08,8.189,0.0,8.0,0.0,699.5
2015-04-12 14:39:09,8.163,0.0,8.0,0.0,700.5
2015-04-12 14:39:10,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:39:11,8.07,0.0,8.0,0.0,699.5
2015-04-12 14:39:12,8.097,0.0,8.0,0.0,700.5
2015-04-12 14:39:13,8.031,0.0,7.0,0.0,700.0
2015-04-12 14:39:14,8.123,0.0,8.0,0.0,700.0
2015-04-12 14:39:15,9.563,0.0,9.0,0.0,692.0
2015-04-12 14:39:16,9.814,0.0,10.0,0.0,698.0
2015-04-12 14:39:17,9.603,0.0,9.0,0.0,701.5
2015-04-12 14:39:18,8.031,0.0,7.0,0.0,707.0
2015-04-12 14:39:19,7.938,0.0,7.0,0.0,701.5
2015-04-12 14:39:20,7.978,0.0,7.0,0.0,700.5
2015-04-12 14:39:21,8.004,0.0,7.0,0.0,701.0
2015-04-12 14:39:22,8.004,0.0,7.0,0.0,699.5
2015-04-12 14:39:23,8.031,0.0,7.0,0.0,700.5
2015-04-12 14:39:24,8.031,0.0,7.0,0.0,699.5
2015-04-12 14:39:25,7.938,0.0,7.0,0.0,701.0
2015-04-12 14:39:26,7.978,0.0,7.0,0.0,700.0
2015-04-12 14:39:27,8.004,0.0,7.0,0.0,700.5
2015-04-12 14:39:28,8.031,0.0,7.0,0.0,700.0
2015-04-12 14:39:29,7.938,0.0,7.0,0.0,700.0
2015-04-12 14:39:30,7.978,0.0,7.0,0.0,701.0
2015-04-12 14:39:31,7.912,0.0,7.0,0.0,700.0
2015-04-12 14:39:32,8.097,0.0,8.0,0.0,700.0
2015-04-12 14:39:33,8.004,0.0,7.0,0.0,699.5
2015-04-12 14:39:34,7.938,0.0,7.0,0.0,700.5
2015-04-12 14:39:35,8.004,0.0,7.0,0.0,700.0
2015-04-12 14:39:36,7.978,0.0,7.0,0.0,700.5
2015-04-12 14:39:37,8.07,0.0,8.0,0.0,699.5
2015-04-12 14:39:38,7.978,0.0,7.0,0.0,700.0
2015-04-12 14:39:39,8.004,0.0,7.0,0.0,700.0
2015-04-12 14:39:40,7.938,0.0,7.0,0.0,700.5
2015-04-12 14:39:41,8.599,0.0,8.0,0.0,697.0
2015-04-12 14:39:42,8.876,0.0,8.0,0.0,697.5
2015-04-12 14:39:43,8.916,0.0,9.0,0.0,699.0
2015-04-12 14:39:44,8.44,0.0,8.0,0.0,703.5
2015-04-12 14:39:45,22.071,0.0,20.0,0.0,681.0
2015-04-12 14:39:46,23.075,0.0,21.0,0.0,682.0
2015-04-12 14:39:47,25.519,0.0,25.0,0.0,682.0
2015-04-12 14:39:48,25.823,0.0,25.0,0.0,694.0
2015-04-12 14:39:49,25.77,0.0,24.0,0.0,700.5
2015-04-12 14:39:50,25.704,0.0,24.0,0.0,701.0
2015-04-12 14:39:51,25.519,1.864,24.0,0.0,701.5
2015-04-12 14:39:52,23.921,1.864,21.0,0.0,715.5
2015-04-12 14:39:53,22.296,1.864,19.0,0.0,712.5
2015-04-12 14:39:54,22.203,1.864,19.0,0.0,703.5
2015-04-12 14:39:55,22.547,1.864,20.0,0.0,699.0
2015-04-12 14:39:56,22.956,1.864,20.0,0.0,696.0
2015-04-12 14:39:57,25.426,1.864,24.0,0.0,683.0
2015-04-12 14:39:58,25.545,1.864,24.0,0.0,697.5
2015-04-12 14:39:59,23.049,2.485,20.0,0.0,722.5
2015-04-12 14:40:00,16.603,2.485,14.0,0.0,714.5
2015-04-12 14:40:01,24.423,1.864,23.0,0.0,672.5
2015-04-12 14:40:02,25.955,1.243,25.0,0.0,684.0
2015-04-12 14:40:03,25.796,1.864,24.0,0.0,703.5
2015-04-12 14:40:04,24.356,1.864,22.0,0.0,711.5
2015-04-12 14:40:05,23.485,2.485,21.0,0.0,707.5
2015-04-12 14:40:06,23.049,2.485,20.0,0.0,703.5
2015-04-12 14:40:07,22.415,2.485,19.0,0.0,708.5
2015-04-12 14:40:08,21.543,2.485,18.0,0.0,706.5
2015-04-12 14:40:09,21.134,2.485,18.0,0.0,703.0
2015-04-12 14:40:10,21.662,1.864,19.0,0.0,698.0
2015-04-12 14:40:11,22.203,1.864,19.0,0.0,695.0
2015-04-12 14:40:12,22.296,1.864,19.0,0.0,700.5
2015-04-12 14:40:13,21.794,2.485,19.0,0.0,703.5
2015-04-12 14:40:14,21.662,2.485,18.0,0.0,701.5
2015-04-12 14:40:15,21.662,1.864,18.0,0.0,699.0
2015-04-12 14:40:16,22.203,1.864,19.0,0.0,697.0
2015-04-12 14:40:17,22.415,1.864,20.0,0.0,697.5
2015-04-12 14:40:18,32.202,1.243,35.0,0.0,744.5
2015-04-12 14:40:19,19.139,1.864,15.0,0.0,754.5
2015-04-12 14:40:20,31.674,1.864,33.0,0.0,752.0
2015-04-12 14:40:21,28.24,1.864,25.0,0.0,784.5
2015-04-12 14:40:22,18.664,1.864,15.0,0.0,741.5
2015-04-12 14:40:23,24.33,1.864,22.0,0.0,702.0
2015-04-12 14:40:24,30.802,1.864,32.0,0.0,745.0
2015-04-12 14:40:25,18.822,1.864,15.0,0.0,772.5
2015-04-12 14:40:26,28.134,1.864,26.0,0.0,745.0
2015-04-12 14:40:27,21.173,1.864,18.0,0.0,715.0
2015-04-12 14:40:28,21.82,1.864,19.0,0.0,702.5
2015-04-12 14:40:29,23.326,0.0,21.0,0.0,687.0
2015-04-12 14:40:30,25.109,0.0,24.0,0.0,685.5
2015-04-12 14:40:31,26.206,0.0,26.0,0.0,689.0
2015-04-12 14:40:32,50.43,2.485,51.0,0.0,901.0
2015-04-12 14:40:33,6.129,3.418,0.0,0.0,930.5
2015-04-12 14:40:34,14.45,3.418,12.0,0.0,909.0
2015-04-12 14:40:35,22.111,3.728,15.0,0.0,990.5
2015-04-12 14:40:36,13.446,3.728,10.0,0.0,1059.0
2015-04-12 14:40:37,13.473,4.35,10.0,0.0,1071.5
2015-04-12 14:40:38,21.266,4.35,14.0,0.0,1180.5
2015-04-12 14:40:39,7.41,4.35,1.0,0.0,1157.5
2015-04-12 14:40:40,7.093,4.35,0.0,0.0,1125.5
2015-04-12 14:40:41,0.0,4.35,0.0,0.0,1103.0
2015-04-12 14:40:42,6.816,4.35,0.0,0.0,1094.0
2015-04-12 14:40:43,31.899,3.728,22.0,0.0,1120.0
2015-04-12 14:40:44,34.052,4.35,19.0,0.0,1283.0
2015-04-12 14:40:45,7.384,4.35,6.0,0.0,1221.0
2015-04-12 14:40:46,44.248,4.35,25.0,0.0,1297.5
2015-04-12 14:40:47,77.666,4.35,42.0,0.0,1444.0
2015-04-12 14:40:48,43.403,4.971,18.0,0.0,1508.5
2015-04-12 14:40:49,45.715,5.282,19.0,0.0,1570.0
2015-04-12 14:40:50,15.89,5.282,5.0,0.0,1582.0
2015-04-12 14:40:51,23.075,5.282,8.0,0.0,1580.5
2015-04-12 14:40:52,13.103,5.282,3.0,0.0,1520.0
2015-04-12 14:40:53,17.95,4.971,6.0,0.0,1423.5
2015-04-12 14:40:54,18.386,4.971,6.0,0.0,1422.0
2015-04-12 14:40:55,77.349,5.282,39.0,0.0,1512.0
2015-04-12 14:40:56,28.517,5.903,10.0,0.0,1651.0
2015-04-12 14:40:57,0.0,5.903,0.0,0.0,1634.0
2015-04-12 14:40:58,40.048,5.903,16.0,0.0,1605.0
2015-04-12 14:40:59,101.745,5.903,51.0,0.0,1612.0
2015-04-12 14:41:00,68.037,6.214,29.0,0.0,1771.5
2015-04-12 14:41:01,66.624,6.214,28.0,0.0,1750.5
2015-04-12 14:41:02,57.153,6.214,23.0,0.0,1764.5
2015-04-12 14:41:03,71.167,6.214,31.0,0.0,1784.0
2015-04-12 14:41:04,61.406,6.214,26.0,0.0,1828.5
2015-04-12 14:41:05,33.642,6.214,12.0,0.0,1811.5
2015-04-12 14:41:06,40.141,6.214,15.0,0.0,1781.0
2015-04-12 14:41:07,42.558,6.214,16.0,0.0,1783.0
2015-04-12 14:41:08,37.988,6.214,14.0,0.0,1809.5
2015-04-12 14:41:09,16.669,6.214,5.0,0.0,1787.5
2015-04-12 14:41:10,53.534,6.214,21.0,0.0,1825.0
2015-04-12 14:41:11,43.773,6.214,16.0,0.0,1768.5
2015-04-12 14:41:12,73.202,6.214,32.0,0.0,1855.5
2015-04-12 14:41:13,98.43,7.456,50.0,0.0,1596.0
2015-04-12 14:41:14,67.218,7.767,30.0,0.0,1668.5
2015-04-12 14:41:15,62.093,7.767,27.0,0.0,1649.5
2015-04-12 14:41:16,0.0,6.835,0.0,0.0,1448.0
2015-04-12 14:41:17,0.0,6.214,0.0,0.0,1284.0
2015-04-12 14:41:18,0.0,5.282,0.0,0.0,1498.0
2015-04-12 14:41:19,0.0,3.728,0.0,0.0,1078.0
2015-04-12 14:41:20,8.255,1.864,8.0,0.0,738.5
2015-04-12 14:41:21,21.728,0.932,19.0,0.0,683.5
2015-04-12 14:41:22,20.632,0.0,17.0,0.0,699.5
2015-04-12 14:41:23,58.936,3.728,55.0,0.0,1263.5
2015-04-12 14:41:24,80.981,3.728,53.0,0.0,1556.0
2015-04-12 14:41:25,103.343,4.971,53.0,0.0,1550.0
2015-04-12 14:41:26,103.687,6.214,46.0,0.0,1744.5
2015-04-12 14:41:27,144.448,5.903,74.0,0.0,1635.0
2015-04-12 14:41:28,163.125,6.214,81.0,0.0,1844.5
