Date Time,UTC Time,Status,Latitude,,Longitude,,Velocity,,UTC Date,Course,,Date Time,Latitude,,Longitude,,Status,Status,Attenna Height,Geoidal Height
4/12/2015 14:33:18Error At Port,Ask:14,Rec: 14
4/12/2015 14:33:19Error At Port,Ask:278,Rec: 278
4/12/2015 14:34:08,	203334	5702.8260	N	11142.1069	W	2	09	1.1	267.1	M	-25.0	M		
4/12/2015 14:34:09,	203335	5702.8255	N	11142.1076	W	2	09	1.1	267.5	M	-25.0	M		
4/12/2015 14:34:10,	203336	5702.8253	N	11142.1081	W	2	09	1.1	267.7	M	-25.0	M		
4/12/2015 14:34:11,	203337	5702.8252	N	11142.1084	W	2	09	1.1	267.7	M	-25.0	M		
4/12/2015 14:34:12,	203338	5702.8246	N	11142.1093	W	2	09	1.1	268.0	M	-25.0	M		
4/12/2015 14:34:13,	203339	5702.8238	N	11142.1105	W	2	09	1.1	268.4	M	-25.0	M		
4/12/2015 14:34:14,	203340	5702.8234	N	11142.1108	W	2	09	1.1	268.8	M	-25.0	M		
4/12/2015 14:34:15,	203341	5702.8229	N	11142.1116	W	2	08	1.2	268.9	M	-25.0	M		
4/12/2015 14:34:16,	203342	5702.8226	N	11142.1117	W	2	08	1.2	268.8	M	-25.0	M		
4/12/2015 14:34:17,	203343	5702.8222	N	11142.1116	W	2	08	1.2	269.0	M	-25.0	M		
4/12/2015 14:34:18,	203344	5702.8220	N	11142.1119	W	2	08	1.2	269.3	M	-25.0	M		
4/12/2015 14:34:19,	203345	5702.8218	N	11142.1119	W	2	08	1.2	269.4	M	-25.0	M		
4/12/2015 14:34:20,	203346	5702.8213	N	11142.1126	W	2	08	1.2	269.7	M	-25.0	M		
4/12/2015 14:34:21,	203347	5702.8211	N	11142.1130	W	2	08	1.2	270.0	M	-25.0	M		
4/12/2015 14:34:22,	203348	5702.8208	N	11142.1134	W	2	08	1.2	270.2	M	-25.0	M		
4/12/2015 14:34:23,	203349	5702.8206	N	11142.1135	W	2	09	1.0	270.7	M	-25.0	M		
4/12/2015 14:34:24,	203350	5702.8205	N	11142.1138	W	2	10	1.0	271.0	M	-25.0	M		
4/12/2015 14:34:25,	203351	5702.8204	N	11142.1141	W	2	09	1.0	271.2	M	-25.0	M		
4/12/2015 14:34:26,	203352	5702.8201	N	11142.1144	W	2	09	1.0	271.3	M	-25.0	M		
4/12/2015 14:34:27,	203353	5702.8197	N	11142.1144	W	2	09	1.0	271.5	M	-25.0	M		
4/12/2015 14:34:28,	203354	5702.8195	N	11142.1145	W	2	09	1.0	271.6	M	-25.0	M		
4/12/2015 14:34:29,	203355	5702.8193	N	11142.1145	W	2	09	1.0	271.7	M	-25.0	M		
4/12/2015 14:34:30,	203356	5702.8190	N	11142.1151	W	2	09	1.0	271.9	M	-25.0	M		
4/12/2015 14:34:31,	203357	5702.8187	N	11142.1156	W	2	09	1.0	272.0	M	-25.0	M		
4/12/2015 14:34:32,	203358	5702.8189	N	11142.1150	W	2	09	1.0	272.2	M	-25.0	M		
4/12/2015 14:34:33,	203359	5702.8191	N	11142.1145	W	2	09	1.0	272.4	M	-25.0	M		
4/12/2015 14:34:34,	203400	5702.8192	N	11142.1144	W	2	09	1.0	272.6	M	-25.0	M		
4/12/2015 14:34:35,	203401	5702.8193	N	11142.1143	W	2	09	1.0	272.9	M	-25.0	M		
4/12/2015 14:34:36,	203402	5702.8192	N	11142.1144	W	2	09	1.0	272.9	M	-25.0	M		
4/12/2015 14:34:37,	203403	5702.8191	N	11142.1145	W	2	09	1.0	273.0	M	-25.0	M		
4/12/2015 14:34:38,	203404	5702.8191	N	11142.1145	W	2	10	1.0	273.1	M	-25.0	M		
4/12/2015 14:34:39,	203405	5702.8190	N	11142.1146	W	2	09	1.0	273.2	M	-25.0	M		
4/12/2015 14:34:40,	203406	5702.8189	N	11142.1146	W	2	09	1.0	273.3	M	-25.0	M		
4/12/2015 14:34:41,	203407	5702.8188	N	11142.1147	W	2	09	1.0	273.4	M	-25.0	M		
4/12/2015 14:34:42,	203408	5702.8188	N	11142.1147	W	2	09	1.0	273.5	M	-25.0	M		
4/12/2015 14:34:43,	203409	5702.8187	N	11142.1148	W	2	10	1.0	273.6	M	-25.0	M		
4/12/2015 14:34:44,	203410	5702.8187	N	11142.1148	W	2	10	1.0	273.7	M	-25.0	M		
4/12/2015 14:34:45,	203411	5702.8187	N	11142.1148	W	2	09	1.0	273.8	M	-25.0	M		
4/12/2015 14:34:46,	203412	5702.8187	N	11142.1147	W	2	10	1.0	273.9	M	-25.0	M		
4/12/2015 14:34:47,	203413	5702.8186	N	11142.1147	W	2	10	1.0	274.0	M	-25.0	M		
4/12/2015 14:34:48,	203414	5702.8187	N	11142.1146	W	2	09	1.0	274.1	M	-25.0	M		
4/12/2015 14:34:49,	203415	5702.8187	N	11142.1145	W	2	10	1.0	274.2	M	-25.0	M		
4/12/2015 14:34:50,	203416	5702.8187	N	11142.1143	W	2	09	1.0	274.4	M	-25.0	M		
4/12/2015 14:34:51,	203417	5702.8188	N	11142.1142	W	2	09	1.0	274.5	M	-25.0	M		
4/12/2015 14:34:52,	203418	5702.8188	N	11142.1141	W	2	09	1.0	274.6	M	-25.0	M		
4/12/2015 14:34:53,	203419	5702.8189	N	11142.1141	W	2	09	1.0	274.7	M	-25.0	M		
4/12/2015 14:34:54,	203420	5702.8189	N	11142.1141	W	2	09	1.0	274.8	M	-25.0	M		
4/12/2015 14:34:55,	203421	5702.8189	N	11142.1141	W	2	09	1.0	275.0	M	-25.0	M		
4/12/2015 14:34:56,	203422	5702.8190	N	11142.1140	W	2	09	1.0	275.1	M	-25.0	M		
4/12/2015 14:34:57,	203423	5702.8190	N	11142.1140	W	2	09	1.0	275.2	M	-25.0	M		
4/12/2015 14:34:58,	203424	5702.8190	N	11142.1140	W	2	09	1.0	275.4	M	-25.0	M		
4/12/2015 14:34:59,	203425	5702.8191	N	11142.1140	W	2	09	1.0	275.5	M	-25.0	M		
4/12/2015 14:35:00,	203426	5702.8191	N	11142.1140	W	2	09	1.0	275.6	M	-25.0	M		
4/12/2015 14:35:01,	203427	5702.8191	N	11142.1139	W	2	09	1.0	275.8	M	-25.0	M		
4/12/2015 14:35:02,	203428	5702.8190	N	11142.1138	W	2	09	1.0	275.9	M	-25.0	M		
4/12/2015 14:35:03,	203429	5702.8190	N	11142.1137	W	2	09	1.0	276.0	M	-25.0	M		
4/12/2015 14:35:04,	203430	5702.8190	N	11142.1136	W	2	09	1.0	276.0	M	-25.0	M		
4/12/2015 14:35:05,	203431	5702.8190	N	11142.1136	W	2	09	1.0	276.0	M	-25.0	M		
4/12/2015 14:35:06,	203432	5702.8190	N	11142.1136	W	2	09	1.0	276.0	M	-25.0	M		
4/12/2015 14:35:07,	203433	5702.8190	N	11142.1136	W	2	09	1.0	276.0	M	-25.0	M		
4/12/2015 14:35:08,	203434	5702.8190	N	11142.1135	W	2	09	1.0	276.0	M	-25.0	M		
4/12/2015 14:35:09,	203435	5702.8190	N	11142.1135	W	2	09	1.0	276.0	M	-25.0	M		
4/12/2015 14:35:10,	203436	5702.8190	N	11142.1135	W	2	09	1.0	276.0	M	-25.0	M		
4/12/2015 14:35:11,	203437	5702.8190	N	11142.1135	W	2	09	1.0	276.0	M	-25.0	M		
4/12/2015 14:35:12,	203438	5702.8190	N	11142.1134	W	2	09	1.0	276.0	M	-25.0	M		
4/12/2015 14:35:13,	203439	5702.8190	N	11142.1134	W	2	08	1.2	276.0	M	-25.0	M		
4/12/2015 14:35:14,	203440	5702.8191	N	11142.1133	W	2	08	1.2	276.0	M	-25.0	M		
4/12/2015 14:35:15,	203441	5702.8192	N	11142.1131	W	2	08	1.2	276.0	M	-25.0	M		
4/12/2015 14:35:16,	203442	5702.8192	N	11142.1127	W	2	08	1.2	276.3	M	-25.0	M		
4/12/2015 14:35:17,	203443	5702.8189	N	11142.1118	W	2	08	1.2	276.5	M	-25.0	M		
4/12/2015 14:35:18,	203444	5702.8190	N	11142.1118	W	2	08	1.2	276.8	M	-25.0	M		
4/12/2015 14:35:19,	203445	5702.8183	N	11142.1111	W	2	08	1.2	276.7	M	-25.0	M		
4/12/2015 14:35:20,	203446	5702.8182	N	11142.1113	W	2	08	1.2	276.7	M	-25.0	M		
4/12/2015 14:35:21,	203447	5702.8183	N	11142.1113	W	2	09	1.1	276.6	M	-25.0	M		
4/12/2015 14:35:22,	203448	5702.8183	N	11142.1112	W	2	09	1.1	276.6	M	-25.0	M		
4/12/2015 14:35:23,	203449	5702.8184	N	11142.1111	W	2	09	1.1	276.6	M	-25.0	M		
4/12/2015 14:35:24,	203450	5702.8184	N	11142.1110	W	2	09	1.1	276.6	M	-25.0	M		
4/12/2015 14:35:25,	203451	5702.8184	N	11142.1109	W	2	09	1.1	276.6	M	-25.0	M		
4/12/2015 14:35:26,	203452	5702.8185	N	11142.1107	W	2	09	1.0	276.6	M	-25.0	M		
4/12/2015 14:35:27,	203453	5702.8186	N	11142.1106	W	2	09	1.0	276.6	M	-25.0	M		
4/12/2015 14:35:28,	203454	5702.8186	N	11142.1105	W	2	10	1.0	276.6	M	-25.0	M		
4/12/2015 14:35:29,	203455	5702.8186	N	11142.1104	W	2	10	1.0	276.6	M	-25.0	M		
4/12/2015 14:35:30,	203456	5702.8187	N	11142.1103	W	2	09	1.0	276.6	M	-25.0	M		
4/12/2015 14:35:31,	203457	5702.8187	N	11142.1102	W	2	09	1.0	276.6	M	-25.0	M		
4/12/2015 14:35:32,	203458	5702.8187	N	11142.1101	W	2	10	1.0	276.6	M	-25.0	M		
4/12/2015 14:35:33,	203459	5702.8186	N	11142.1101	W	2	09	1.0	276.6	M	-25.0	M		
4/12/2015 14:35:34,	203500	5702.8186	N	11142.1100	W	2	10	1.0	276.6	M	-25.0	M		
4/12/2015 14:35:35,	203501	5702.8180	N	11142.1095	W	2	10	1.0	276.6	M	-25.0	M		
4/12/2015 14:35:36,	203502	5702.8183	N	11142.1090	W	2	10	1.0	276.6	M	-25.0	M		
4/12/2015 14:35:37,	203503	5702.8184	N	11142.1076	W	2	10	1.0	276.5	M	-25.0	M		
4/12/2015 14:35:38,	203504	5702.8187	N	11142.1075	W	2	10	1.0	276.6	M	-25.0	M		
4/12/2015 14:35:39,	203505	5702.8188	N	11142.1064	W	2	10	1.0	276.2	M	-25.0	M		
4/12/2015 14:35:40,	203506	5702.8189	N	11142.1064	W	2	09	1.0	276.2	M	-25.0	M		
4/12/2015 14:35:41,	203507	5702.8192	N	11142.1051	W	2	09	1.0	275.3	M	-25.0	M		
4/12/2015 14:35:42,	203508	5702.8199	N	11142.1046	W	2	09	1.1	274.7	M	-25.0	M		
